CPQHLTH-MIB,cpqHeResMemBoardBusError,1.3.6.1.4.1.232,6059,CRITICAL,Memory board or cartridge bus error detected.   An Advanced Memory Protection sub-system board or cartridge bus error has been detected.   User Action: Replace the indicated board or cartridge.,,,,
CPQHLTH-MIB,cpqHe4FltTolPowerSupplyFailed,1.3.6.1.4.1.232,6050,CRITICAL,The fault tolerant power supply condition has been set to failed for the specified chassis and bay location.,,,,
CPQIDA-MIB,cpqDa7PhyDrvStatusChange,1.3.6.1.4.1.232,3046,CRITICAL,Physical Drive Status Change.   This trap signifies that the agent has detected a change in the status of a drive array physical drive.  The variable cpaDaPhyDrvStatus indicates the current physical drive status.   User Action: If cpaDaPhyDrvStatus is 'failed(3)', 'predictiveFailure(4)', 'ssdWearOut(8)', or 'notAuthenticated(9)', replace the drive.
CPQRACK-MIB,cpqRackPowerSupplyFailed,1.3.6.1.4.1.232,22013,CRITICAL,The power supply status has been set to failed.   This trap signifies that a power supply has failed.   User Action: Replace the power supply as soon as possible.,,,,
CPQRACK-MIB,cpqRackPowerShedAutoShutdown,1.3.6.1.4.1.232,22021,CRITICAL,Server shutdown due to power shedding.   The server blade was shutdown due to a lack of power.   User Action: Check power connections or add power supplies.,,,,
CPQSM2-MIB,cpqSm2NicLinkDown,1.3.6.1.4.1.232,9015,CRITICAL,The iLO NIC Link is Down.   The Remote Insight/ Integrated Lights-Out firmware has  detected the loss of network link.,,,,
CPQSM2-MIB,cpqSm2ExternalPowerCableDisconnected,1.3.6.1.4.1.232,9010,MAJOR,External Power Cable Disconnected.   The Remote Insight external power cable has been disconnected.,,,,
CPQSTSYS-MIB,cpqSsSidePanelRemoved,1.3.6.1.4.1.232,8006,MAJOR,Storage System side panel is removed.   The side panel status has been set to removed.  The storage system's side panel is not in a properly installed state. This situation may result in improper cooling of the drives in the storage system due to air flow changes caused by the missing side panel.,,,,
CPQHLTH-MIB,cpqHe3FltTolFanRedundancyLost,1.3.6.1.4.1.232,6037,MAJOR,The Fault Tolerant Fans have lost redundancy for the specified chassis.,,,,
CPQHLTH-MIB,cpqHe3FltTolPowerRedundancyLost,1.3.6.1.4.1.232,6032,MAJOR,The Fault Tolerant Power Supplies have lost redundancy for the specified chassis.,,,,
CPQHLTH-MIB,cpqHeResMemBoardRemoved,1.3.6.1.4.1.232,6057,MAJOR,Memory board or cartridge removed.   An Advanced Memory Protection sub-system board or cartridge has been removed from the system.   User Action: Ensure the board or cartridge has memory correctly installed and re-insert the memory board or cartridge back into the system.,,,,
CPQSM2-MIB,cpqSm2IrsCommFailure,1.3.6.1.4.1.232,9020,MAJOR,The iLO to Insight Remote Support or Insight Online communication failed.,,,,
